rainfall_7d,rainfall_30d,rainfall_90d,temp_mean_7d,dewpoint_mean_7d,wind_mean_7d,temp_same_day,dewpoint_same_day,wind_same_day,ndvi_nearest_composite,ndvi_anomaly,elevation_m,slope_deg,dist_to_water_m,presence
0.0,40.92,385.37,26.17,13.26,2.07,28.21,11.19,0.44,0.603,-0.0166,1448.0,0.69,1174.5,0
83.31,260.74,457.01,23.29,16.51,2.28,21.37,18.96,2.88,0.7623,0.161,1579.0,15.13,1159.5,0
4.9,116.94,450.31,25.5,12.7,2.19,26.57,12.81,2.93,0.8648,0.017,1576.0,2.76,215.7,0
0.0,125.83,495.61,25.08,6.65,1.32,25.05,7.64,2.08,0.6609,-0.007,1837.0,7.84,2650.4,0
0.0,118.38,439.0,27.37,12.22,1.86,28.01,13.29,2.19,0.628,0.0322,1551.0,3.61,1802.8,0
10.22,32.51,304.87,24.13,9.02,1.68,25.31,7.12,2.4,0.7857,0.0287,1936.0,2.54,2738.2,0
0.0,132.83,746.64,20.3,18.24,1.73,20.3,18.24,1.73,0.8675,0.0178,1598.0,5.97,779.2,0
15.75,34.39,315.05,26.16,9.59,1.96,27.32,7.48,2.44,0.7485,0.0092,1875.0,4.63,1686.4,0
9.99,178.79,649.76,24.08,14.44,1.92,22.85,17.03,2.65,0.7239,0.0412,1527.0,3.73,49.3,0
7.01,96.65,766.6,28.33,12.72,2.25,27.18,14.67,1.46,0.4908,-0.0363,1147.0,0.62,348.4,0
0.0,175.47,502.52,21.86,15.16,1.39,20.6,17.81,1.54,0.6912,0.1095,1574.0,13.89,428.5,0
0.0,94.73,722.45,28.04,12.5,1.68,27.59,13.61,1.28,0.6241,0.0468,1182.0,0.98,1400.2,0
0.0,105.3,372.64,24.2,9.64,1.84,25.42,5.44,1.52,0.7704,0.1025,1837.0,7.84,2650.4,0
0.0,68.1,492.13,28.22,11.67,2.99,30.2,11.22,1.67,0.5426,-0.026,1134.0,2.18,131.6,0
49.34,85.68,583.93,25.06,17.85,3.95,25.06,17.85,3.95,0.6978,0.0864,1398.0,8.55,1220.6,0
38.29,133.45,408.64,24.49,17.86,2.53,23.57,19.1,3.01,0.7366,0.0555,1283.0,9.87,242.1,0
25.66,86.59,242.38,20.9,8.29,1.92,22.54,5.53,1.62,0.8998,0.0205,2214.0,8.71,109.7,0
