key,scientificName,decimalLatitude,decimalLongitude,eventDate,year,grid_cell_id,within_scheme_boundary
3926511946,"Ploceus ocularis A.Smith, 1828",-0.124583,35.207917,2022-08-03,2022,cell_0272,False
1986738103,"Apus apus (Linnaeus, 1758)",-0.172333,34.919265,2018-02-16,2018,cell_0156,True
2249871237,BOLD:ADE1279,0.2347,35.1408,2016-05-04,2016,cell_0243,False
979598415,"Buteo augur (Ruppell, 1836)",-0.031405,34.938595,2001-12-25,2001,cell_0158,False
2170632540,"Upupa epops Linnaeus, 1758",-0.026098,34.683025,2018-06-21,2018,cell_0064,False
1986742987,"Buteo augur (Ruppell, 1836)",-0.019792,34.873933,2017-08-05,2017,cell_0139,False
842734849,"Spermestes cucullata Swainson, 1837",-0.393,35.237144,2012-07-17,2012,cell_0266,False
2848558844,"Oriolus percivali Ogilvie-Grant, 1903",-0.351,35.319,2020-03-10,2020,cell_0298,False
2688336211,"Bycanistes subcylindricus (P.L.Sclater, 1871)",0.179171,35.010883,2019-08-14,2019,cell_0203,False
4919681435,"Cuculus solitarius Stephens, 1815",-0.150255,34.813601,2024-05-01T17:49:10,2024,cell_0117,False
4046309312,"Lanius humeralis Stanley, 1814",-0.039139,34.62204,2023-02-20T00:27,2023,cell_0047,False
